titulo,precio_num,imagen_url,fuente
"Piso en Avenida de Pilar Miró, 1",699000,https://fotos.imghs.net/mm-wp/1005/720/1005_109867720_3_2025111922115258329.jpg,pisos.com
"Dúplex en calle de José Antonio, 22",410900,https://fotos.imghs.net/mm-wp/1010/194/1010_2131194_1_2025102416102956299.jpg,pisos.com
Casa adosada en Pasaje Fuente Del Cura,255000,https://fotos.imghs.net/mm-wp/1010/681/1010_221681_1_2025120212125011058.jpg,pisos.com
Piso en calle de Lucas Mallada,345000,https://fotos.imghs.net/mm-wp/994867/60035585556.994867/994867_60035585556_8a462c02-d0a8-4991-ae6b-e61dd203fc34.jpg,pisos.com
Loft en calle de la Drácena,459000,https://fotos.imghs.net/mm-wp/531063/59221669029.531063/531063_59221669029_7b0ebbcf-5cd3-49ce-876f-2d6393e8c2a6.jpg,pisos.com
Piso en calle de Tetuán,699000,https://fotos.imghs.net/mm-wp/1002/525/1002_639525_1_2025111810111317095.jpeg,pisos.com
Piso en calle de Maqueda,459000,https://fotos.imghs.net/mm-wp/518874/59245936810.518874/518874_59245936810_e266c90d-6816-49dc-8c2f-361a5209e1c6.jpg,pisos.com
Piso en calle de Noblejas,1500000,https://fotos.imghs.net/mm-wp/521737/58411477913.521737/521737_58411477913_62c367a3-1dda-4632-8b3c-324ef801fb69.jpg,pisos.com
Piso en calle del General Ibáñez de Ibero,1195000,https://fotos.imghs.net/mm-wp/517902/58422992570.517902/517902_58422992570_ed3ea9e0-250f-4ab9-b1f9-6a118ddb2979.jpg,pisos.com
Piso en Avenida de los Reyes Católicos,205000,https://fotos.imghs.net/mm-wp/2712/58424714867.271200/2712_58424714867_c375b2aa-8278-47e7-a496-36f3c0d8ca22.jpg,pisos.com
Piso en calle de Santa Engracia,1730000,https://fotos.imghs.net/mm-wp/517902/57558245721.517902/517902_57558245721_2f06043e-56c8-4071-a156-62393845c35e.jpg,pisos.com
Apartamento en calle de la Cruz de Flores,190900,https://fotos.imghs.net/mm-wp/2712/57544095355.271200/2712_57544095355_840e3149-cac6-4ba0-a01b-2df10b47c01e.jpg,pisos.com
Casa adosada en calle de Poseidón,647000,https://fotos.imghs.net/mm-wp/1010/106/1010_2121106_8_2025031616034331516.jpg,pisos.com
Chalet en Carretera de Valdemanco,409000,https://fotos.imghs.net/mm-wp/1005/756/1005_2216355611756_1_2024071512075973096.jpg,pisos.com
Piso en calle de Nuestra Señora del Villar,221000,https://fotos.imghs.net/mm-wp/998861/60025308043.998861/998861_60025308043_68d4fd06-d0ed-4539-89f2-4f1d00ef0b29.jpg,pisos.com
Piso en calle de Illescas,230000,https://fotos.imghs.net/mm-wp/518874/59224258672.518874/518874_59224258672_87d11c67-1cf8-4ccd-82d9-729c28094366.jpg,pisos.com
Piso en Plaza San Francisco de Asis,233500,https://fotos.imghs.net/mm-wp/2712/58365750785.271200/2712_58365750785_14f3ddb9-8d4f-4968-98e3-5272ffe55354.jpg,pisos.com
Piso en calle de Eusebio Morán,255000,https://fotos.imghs.net/mm-wp/518874/55000875519.518874/518874_55000875519_a594194d-1873-43a3-9c40-e8d170cf75c1.jpg,pisos.com
Casa rústica en calle calle del Serranillo,975000,https://fotos.imghs.net/mm-wp/1018/856/1018_106579856_1_2025052817052067971.jpg,pisos.com
"Piso en calle del Planeta Marte, 1",286990,https://fotos.imghs.net/mm-wp/518514/59219057875.518514/518514_59219057875_5ca4a18c-5e52-4d04-8e04-4dc5677adb3e.jpg,pisos.com
"Piso en calle de Jesús y María, 34",479000,https://fotos.imghs.net/mm-wp/1005/927/1005_268479709927_1_2025112614114839119.jpg,pisos.com
"Piso en Plaza del Egido de la Fuente, 4",400000,https://fotos.imghs.net/mm-wp/1010/204/1010_1937204_1_2025090920092202320.jpg,pisos.com
"Apartamento en calle de la Paz, 5",175000,https://fotos.imghs.net/mm-wp/1010/767/1010_1524767_3_2025090910091757253.jpg,pisos.com
"Piso en calle Mayor, 16",3150000,https://fotos.imghs.net/mm-wp/510067/55008522568.510067/510067_55008522568_44057f94-8834-42cb-b823-7edfd7ae5a80.jpg,pisos.com
