titulo,precio_num,tipo_codificado,path_imagen
"Piso en Avenida de Pilar Miró, 1",699000,1,
"Dúplex en calle de José Antonio, 22",410900,1,
Casa adosada en Pasaje Fuente Del Cura,255000,2,
Piso en calle de Lucas Mallada,345000,1,
Loft en calle de la Drácena,459000,0,
Piso en calle de Tetuán,699000,1,
Piso en calle de Maqueda,459000,1,
Piso en calle de Noblejas,1500000,1,
Piso en calle del General Ibáñez de Ibero,1195000,1,
Piso en Avenida de los Reyes Católicos,205000,1,
Piso en calle de Santa Engracia,1730000,1,
Apartamento en calle de la Cruz de Flores,190900,1,
Casa adosada en calle de Poseidón,647000,2,
Chalet en Carretera de Valdemanco,409000,2,
Piso en calle de Nuestra Señora del Villar,221000,1,
Piso en calle de Illescas,230000,1,
Piso en Plaza San Francisco de Asis,233500,1,
Piso en calle de Eusebio Morán,255000,1,
Casa rústica en calle calle del Serranillo,975000,2,
"Piso en calle del Planeta Marte, 1",286990,1,
"Piso en calle de Jesús y María, 34",479000,1,
"Piso en Plaza del Egido de la Fuente, 4",400000,1,
"Apartamento en calle de la Paz, 5",175000,1,
"Piso en calle Mayor, 16",3150000,1,
"Piso en calle de Monteleón, 19",930000,1,
"Piso en calle Castelló, 120",1329000,1,
"Piso en calle del Foso, 102",180000,1,
Piso en calle Pío Baroja,285900,1,
Piso en calle de Agastia,1170000,1,
Dúplex en calle del Arroyo Fontarrón,485000,1,
Piso en calle de la Secoya,430000,1,
Casa adosada en calle de la Giralda,419000,2,
Chalet en Campiña,575000,2,
"Ático en calle de Manuel Cortina, 10",1275000,0,
"Estudio en Travesía de Santiago Cordero, 2",165000,0,
Piso en calle de Francisco Medrano,930000,1,
Piso en calle de Cadalso de los Vidrios,519000,1,
Chalet adosado en Avenida de España,1100000,2,
Piso en calle del Divino Vallés,400000,1,
Piso en calle de la Cañada,271000,1,
Piso en calle del Aligustre,350000,1,
Piso en calle de Antonia Domínguez,545000,1,
"Piso en calle del Planeta Júpiter, 1",306990,1,
"Piso en calle de San Dacio, 9",300000,1,
Piso en calle del Panizo,294000,1,
Piso en Avenida de Pablo Neruda,320000,1,
Piso en calle de Caleruega,890000,1,
Piso en Avenida Virgen de Loreto,298000,1,
Dúplex en calle de las Fraguas,429900,1,
Piso en Todas,151000,1,
Piso en calle de la Cruz,549000,1,
Piso en calle de Joaquín María López,1190000,1,
Piso en calle de Arriaza,295000,1,
Piso en calle de Ponferrada,309900,1,
Piso en calle de Sánchez Balderas,370000,1,
Casa unifamiliar en Avenida del Puente de los Viveros,1350000,2,
Chalet en calle de la Hoyuela,279000,2,
Casa unifamiliar en El Olivar de Mirabal,2800000,2,
"Piso en Pryconsa, Juan de Austria",260000,1,
Casa adosada en calle de Paraguay,360000,2,
